id,title,original_title,url,archive_url,date,people,generation,language,outlet,type,tags,summary,post_file,status,era_skin,imported_post_slug,imported_post_path,translation_file,title_zh,post_slug,source_name,source_url,imported_file,era,imported_date,year,imported,file_path,note,chinese_title,post_url,speaker,publication,file
PKMN-0011,Notion收录：『ポケットモンスター X・Y』増田P×声優・岡本信彦氏インタビュー＆攻略大特集！ 電子版配信もスタートした『電撃Nintendo12月号』を紹介,『ポケットモンスター X・Y』増田P×声優・岡本信彦氏インタビュー＆攻略大特集！ 電子版配信もスタートした『電撃Nintendo12月号』を紹介,https://dengekionline.com/elem/000/000/737/737734/,https://web.archive.org/web/*/https://dengekionline.com/elem/000/000/737/737734/,2010-01-01,增田顺一,Gen 6,JA,Notion Archive,Web Interview,增田顺一; 第六世代; JP; XY; Gen 6; JA; Notion精选,宝可梦主创访谈数据库收录项目：『ポケットモンスター X・Y』増田P×声優・岡本信彦氏インタビュー＆攻略大特集！ 電子版配信もスタートした『電撃Nintendo12月号』を紹介，关注Gen 6开发幕后。,,unimported,,,,,,,,,,,,,,,,,,,,
PKMN-0012,CGWORLD 专访：揭秘《宝可梦 太阳·月亮》超千只3D资产管线与 Game Freak × Creatures × 宝可梦社 高度协同体系,『ポケットモンスター サン・ムーン』の3Dアセット制作とそれを可能にする高度な3社協業体制,https://cgworld.jp/feature/201707-cgw227GG-pokemon.html,https://web.archive.org/web/*/https://cgworld.jp/feature/201707-cgw227GG-pokemon.html,2017-07-10,大森滋; 海野隆雄,Gen 7,JA,Notion Archive,Web Interview,海野隆雄; 大森滋; 氏家淳子; 畠祐貴氏; 中廣健吾; 植松俊介; 第七世代; 日月; JP; Gen 7; JA; Notion精选,宝可梦主创访谈数据库收录项目：『ポケットモンスター サン・ムーン』の3Dアセット制作とそれを可能にする高度な3社協業体制，关注Gen 7开发幕后。,_posts/2017-07-10-interview-cgworld-pokemon-sun-moon-3d-pipeline.md,imported,,interview-cgworld-pokemon-sun-moon-3d-pipeline,_posts/2017-07-10-interview-cgworld-pokemon-sun-moon-3d-pipeline.md,,,,月刊 CGWORLD,https://cgworld.jp/feature/201707-cgw227GG-pokemon.html,,,,,,,,,,,,
PKMN-0013,Fami通 E3 直击专访增田顺一与大森滋：《宝可梦 剑·盾》旷野地带、极巨化与全国图鉴决断,『ポケットモンスター ソード・シールド』の“いま聞きたいこと”について増田順一氏、大森滋氏を直撃。「連れて来られるポケモンの話」にも言及！【E3 2019】,https://www.famitsu.com/news/201906/13177936.html,https://web.archive.org/web/*/https://www.famitsu.com/news/201906/13177936.html,2019-06-13,增田顺一; 大森滋,Gen 8,JA,ファミ通.com (Famitsu),Web Interview,增田顺一; 大森滋; 第八世代; 剑盾; JP; Gen 8; JA; Notion精选,宝可梦主创访谈数据库收录项目：『ポケットモンスター ソード・シールド』の“いま聞きたいこと”について増田順一氏、大森滋氏を直撃。「連れて来られるポケモンの話」にも言及！【E32019】，关注Gen 8开发幕后。,_posts/2019-06-13-interview-famitsu-e3-2019-pokemon-sword-shield-masuda-ohmori.md,imported,2019,,,,,,,,_posts/2019-06-13-interview-famitsu-e3-2019-pokemon-sword-shield-masuda-ohmori.md,,,,,,,,,,,
PKMN-0014,Notion收录：『ポケットモンスター』受け継がれる音楽のバトン,『ポケットモンスター』受け継がれる音楽のバトン,http://www.2083.jp/contents/201410gamefreak/,https://web.archive.org/web/*/http://www.2083.jp/contents/201410gamefreak/,2010-01-01,增田顺一,Gen 6,JA,Notion Archive,Web Interview,一之濑刚; 增田顺一; 足立美奈子; 佐藤仁美; 第六世代; XY; JP; Gen 6; JA; Notion精选,宝可梦主创访谈数据库收录项目：『ポケットモンスター』受け継がれる音楽のバトン，关注Gen 6开发幕后。,_posts/2013-11-16-interview-famitsu-xy-music-fanmeeting-masuda-kageyama.md,imported,,interview-famitsu-xy-music-fanmeeting-masuda-kageyama,_posts/2013-11-16-interview-famitsu-xy-music-fanmeeting-masuda-kageyama.md,_posts/2014-10-31-interview-2083-gamefreak-sound-team-red-green-to-oras.md,2083WEB 专访 GAME FREAK 声音团队：传承十八载的宝可梦音乐接力棒——从《红·绿》芯片音到《欧米伽红宝石·阿尔法蓝宝石》,,,,,,,,,,,,,,,
PKMN-0015,Fami通《宝可梦 究极之日·究极之月》剧透解密：岩尾和昌与杉中克考谈阿罗拉“核心”剧情与彩虹火箭队诞生,『ポケモン ウルトラサン・ウルトラムーン』あのエピソードの真意は？ 開発者たちが明かす、ストーリー制作秘話【ネタバレ注意】(1/5),https://www.famitsu.com/news/201801/02148529.html,https://web.archive.org/web/*/https://www.famitsu.com/news/201801/02148529.html,2018-01-02,岩尾和昌,Gen 7,JA,Notion Archive,Web Interview,岩尾和昌; 第七世代; 究极日月; 杉中克考; JP; Gen 7; JA; Notion精选,宝可梦主创访谈数据库收录项目：『ポケモン ウルトラサン・ウルトラムーン』あのエピソードの真意は？ 開発者たちが明かす、ストーリー制作秘話【ネタバレ注意】(1/5)，关注Gen 7开发幕后。,_posts/2018-01-02-interview-famitsu-usum-iwao-suginaka-story-secrets.md,imported,,,,,,,週刊ファミ通,https://www.famitsu.com/news/201801/02148529.html,,,,,,,,,,,,
PKMN-0016,Fami通《宝可梦 究极之日·究极之月》开发团队深度访谈：大森滋与岩尾和昌谈阿罗拉终极进化与年轻体制,『ポケモン ウルトラサン・ウルトラムーン』について気になることをすべて聞いた！ マル秘情報も飛び出す開発者スペシャルインタビュー(1/5),https://www.famitsu.com/news/201710/19143850.html,https://web.archive.org/web/*/https://www.famitsu.com/news/201710/19143850.html,2017-10-19,大森滋; 岩尾和昌,Gen 7,JA,Notion Archive,Web Interview,大森滋; 岩尾和昌; 第七世代; 究极日月; Gen 7; JA; Notion精选,宝可梦主创访谈数据库收录项目：『ポケモン ウルトラサン・ウルトラムーン』について気になることをすべて聞いた！ マル秘情報も飛び出す開発者スペシャルインタビュー(1/5)，关注Gen 7开发幕后。,_posts/2017-10-19-interview-famitsu-usum-ohmori-iwao-director.md,imported,,,,,,,週刊ファミ通,https://www.famitsu.com/news/201710/19143850.html,,,,,,,,,,,,
PKMN-0017,Game Informer 独家深度专访增田顺一：《宝可梦 X／Y》开发秘话——AZ与三千年前的最终兵器、学习装置革新、钥圈儿设计与卡洛斯美学哲学,【XY】AZ関連、学習装置の仕様変更の理由など(インタビュー記事和訳),http://raim2005.blog18.fc2.com/blog-entry-1177.html,https://web.archive.org/web/*/http://raim2005.blog18.fc2.com/blog-entry-1177.html,2014-02-14,增田顺一,Gen 6,JA,Game Informer,Web Interview,增田顺一; 第六世代; XY; JP; Gen 6; JA; Notion精选,宝可梦主创访谈数据库收录项目：【XY】AZ関連、学習装置の仕様変更の理由など(インタビュー記事和訳)，关注Gen 6开发幕后。,_posts/2014-02-14-interview-gameinformer-masuda-afterwords-xy.md,imported,,interview-gameinformer-masuda-afterwords-xy,_posts/2014-02-14-interview-gameinformer-masuda-afterwords-xy.md,,,,,,,,,,,,,,,,,
PKMN-0018,Fami通一周年深度专访：宝可梦社 COO 宇都宫崇人 × SELECT BUTTON 主创团队详解《Pokémon Sleep》睡眠算法、生活方式变革与未来生态,【ポケスリ】『ポケモンスリープ』ポケモンCOO宇都宮崇人氏＆SELECT BUTTONインタビュー。初期イメージやカビゴンのごはん事情など、リリース1年とちょっとを振り返る。今後の展望と開発移管についても言及,https://www.famitsu.com/article/202411/23904,https://web.archive.org/web/*/https://www.famitsu.com/article/202411/23904,2024-11-20,宇都宮崇人; 中畑虎也; 宮川佳祐; 塚田拓実,Gen 9,JA,ファミ通.com,Web Interview,宇都宫崇人; 第九世代; TPC; 宝可梦Sleep; Gen 9; JA; Notion精选,宝可梦主创访谈数据库收录项目：【ポケスリ】『ポケモンスリープ』ポケモンCOO宇都宮崇人氏＆SELECT BUTTONインタビュー，关注Gen 9开发幕后。,_posts/2024-11-20-interview-famitsu-pokemon-sleep-1st-anniversary-utsunomiya-nakahata.md,imported,2019,,,,,,,,,,,,,,,,,,,
PKMN-0019,Notion收录：【劇場版ポケットモンスター ココ】音楽プロデュースを務める岡崎体育さんインタビュー!!　「掟の歌」は○○モチーフ!?　楽曲制作の裏側を聞いた！,【劇場版ポケットモンスター ココ】音楽プロデュースを務める岡崎体育さんインタビュー!!　「掟の歌」は○○モチーフ!?　楽曲制作の裏側を聞いた！,https://corocoro.jp/special/152162/,https://web.archive.org/web/*/https://corocoro.jp/special/152162/,2010-01-01,Game Freak 开发团队,综合专题,JA,Notion Archive,Web Interview,岡崎体育; JP; 综合专题; JA; Notion精选,宝可梦主创访谈数据库收录项目：【劇場版ポケットモンスター ココ】音楽プロデュースを務める岡崎体育さんインタビュー!!　「掟の歌」は○○モチーフ!?　楽曲制作の裏側を聞いた！，关注综合专题开发幕后。,_posts/2020-12-25-interview-corocoro-coco-okazaki-taiiku.md,imported,,interview-corocoro-coco-okazaki-taiiku,_posts/2020-12-25-interview-corocoro-coco-okazaki-taiiku.md,,,2020-12-25-interview-corocoro-coco-okazaki-taiiku,,,,,,,,,,,,,,
PKMN-0020,Notion收录：【対談】ポケモンと考える『現実世界と仮想世界をより豊かにする方法』｜宇都宮崇人（株式会社ポケモン代表取締役）×伊藤伸（構想日本理事）,【対談】ポケモンと考える『現実世界と仮想世界をより豊かにする方法』｜宇都宮崇人（株式会社ポケモン代表取締役）×伊藤伸（構想日本理事）,http://www.kosonippon.org/news/2020/taidan0901/,https://web.archive.org/web/*/http://www.kosonippon.org/news/2020/taidan0901/,2010-01-01,宇都宫崇人,Gen 8,JA,Notion Archive,Web Interview,第八世代; 宇都宫崇人; JP; GO; Gen 8; JA; Notion精选,宝可梦主创访谈数据库收录项目：【対談】ポケモンと考える『現実世界と仮想世界をより豊かにする方法』｜宇都宮崇人（株式会社ポケモン代表取締役）×伊藤伸（構想日本理事），关注Gen 8开发幕后。,,unimported,,,,,,,,,,,,,,,,,,,,
PKMN-0021,Game Informer 专访增田顺一与井部真那：宝可梦 15 年的过去、现在与未来,"Pokémon: Past, Present, And Future - Game Freak on 15 Years of Pokémon",https://www.gameinformer.com/b/features/archive/2011/03/07/pokemon-past-present-future.aspx,https://web.archive.org/web/*/https://www.gameinformer.com/b/features/archive/2011/03/07/pokemon-past-present-future.aspx,2011-03-07,增田顺一; 井部真那,Gen 1,EN,Game Informer,Web Interview,增田顺一; 第一世代; 第五世代; EN; 赤绿; 黑白; Gen 1; Notion精选,宝可梦主创访谈数据库收录项目：2011 宝可梦的过去 现在 与未来 GI，关注Gen 1开发幕后。,_posts/2011-03-07-interview-gameinformer-masuda-past-present-future.md,imported,2011,,,,,,,,,,,,,,,,,,,
PKMN-0022,专访宝可梦领舵人：“20年前我们根本不敢想这样的游戏能风靡全球”——《GQ》西班牙专访增田顺一与大森滋,"Entrevistamos a los responsables de Pokémon: ""No creíamos hace 20 años que un juego así pudiese triunfar en todo el mundo""",https://www.revistagq.com/noticias/articulos/entrevista-creadores-pokemon-sol-luna/25043,https://web.archive.org/web/*/https://www.revistagq.com/noticias/articulos/entrevista-creadores-pokemon-sol-luna/25043,2016-12-05,增田顺一; 大森滋,Gen 7,ES,GQ España,Web Interview,增田顺一; 大森滋; 第七世代; 日月; ES; Gen 7; Notion精选,"宝可梦主创访谈数据库收录项目：2016  Entrevistamos a los responsables de Pokémon: ""No creíamos hace 20 años que un juego así pudiese triunfar en todo el mundo"" 20年前我们并不相信会如此成功，关注Gen 7开发幕后。",_posts/2016-12-05-interview-gq-spain-sun-moon-masuda-ohmori.md,imported,,interview-gq-spain-sun-moon-masuda-ohmori,_posts/2016-12-05-interview-gq-spain-sun-moon-masuda-ohmori.md,,,,,,,,,,,,,,,,,
PKMN-0023,宝可梦剧场版官方频道深度专访：总监督汤山邦彦谈〈光轮的超魔神 胡帕〉、传说宝可梦大决战与全设定画精选,A Special Movie Pre-Premiere Interview with Director Yuyama,https://www.pocketmonsters.net/content/Pokemon_movie_channel_Movie_Details,https://web.archive.org/web/*/https://www.pocketmonsters.net/content/Pokemon_movie_channel_Movie_Details,2015-07-14,Game Freak 开发团队,综合专题,EN,Pokémon Movie Channel / PocketMonsters.net,Web Interview,汤山邦彦; EN; 剧场版; 综合专题; Notion精选,宝可梦主创访谈数据库收录项目：A Special Movie Pre-Premiere Interview with Director Yuyama，关注综合专题开发幕后。,,imported,,interview-movie18-yuyama-hoopa-model-sheets,_posts/2015-07-14-interview-movie18-yuyama-hoopa-model-sheets.md,,,,,,,,,,,,,,,,,
PKMN-0024,Game Informer 独家专访增田顺一：《宝可梦 X·Y》全景事后解密与宝可友友乐诞生,Afterwords – Pokémon X & Y (Unabridged Interview with Junichi Masuda),https://www.gameinformer.com/b/features/archive/2014/02/14/afterwords-unabridged-pokemon-x-and-y.aspx,https://web.archive.org/web/*/https://www.gameinformer.com/b/features/archive/2014/02/14/afterwords-unabridged-pokemon-x-and-y.aspx,2014-02-14,增田顺一,Gen 6,EN,Game Informer,Web Interview,增田顺一; 第六世代; EN; XY; Gen 6; Notion精选,宝可梦主创访谈数据库收录项目：Afterwords – Pokémon X & Y，关注Gen 6开发幕后。,_posts/2014-02-14-interview-gameinformer-masuda-afterwords-xy.md,imported,2014,,,,,,,,,,,,,,,,,,,
PKMN-0025,Notion收录：An Exclusive Interview with the makers of Pokémon Ultra Sun and Pokémon Ultra Moon!,An Exclusive Interview with the makers of Pokémon Ultra Sun and Pokémon Ultra Moon!,https://www.pocketmonsters.net/content/Interview_GAME_FREAK_USUM,https://web.archive.org/web/*/https://www.pocketmonsters.net/content/Interview_GAME_FREAK_USUM,2010-01-01,Game Freak 开发团队,综合专题,EN,Notion Archive,Web Interview,综合专题; EN; Notion精选,宝可梦主创访谈数据库收录项目：An Exclusive Interview with the makers of Pokémon Ultra Sun and Pokémon Ultra Moon!，关注综合专题开发幕后。,_posts/2017-11-09-interview-pokemon-com-usum-ohmori-iwao.md,imported,,,,,,2017-11-09-interview-pokemon-com-usum-ohmori-iwao,,,,,,,,,,,,,,
PKMN-0026,任天堂社长问（Iwata Asks）《宝可梦 黑／白》全五章深度访谈：岩田聪 × 石原恒和 × 增田顺一 × 杉森建,Iwata Asks: Pokémon Black Version and Pokémon White Version,https://iwataasks.nintendo.com/interviews/#/ds/pokemon-black-white/0/1,https://web.archive.org/web/*/https://iwataasks.nintendo.com/interviews/#/ds/pokemon-black-white/0/1,2010-09-10,岩田聪; 石原恒和; 增田顺一; 杉森建,Gen 5,EN,Iwata Asks,Web Interview,第五世代; 黑白; EN; 石原恒和; 增田顺一; 杉森建; Gen 5; Notion精选,宝可梦主创访谈数据库收录项目：BW 社长问，关注Gen 5开发幕后。,,imported,,interview-iwata-asks-bw-chapter-1-second-game-on-ds,_posts/2010-09-10-interview-iwata-asks-bw-chapter-1-second-game-on-ds.md,,,,,,,,,,,,,,,,,
PKMN-0027,Notion收录：corocoro 初代 扫描,corocoro 初代 扫描,https://corocoro.jp/news/49271/,https://web.archive.org/web/*/https://corocoro.jp/news/49271/,2010-01-01,Game Freak 开发团队,Gen 1,JA,Notion Archive,Web Interview,第一世代; JP; 赤绿; Gen 1; JA; Notion精选,宝可梦主创访谈数据库收录项目：corocoro 初代 扫描，关注Gen 1开发幕后。,,unimported,,,,,,,,,,,,,,,,,,,,
PKMN-0028,Notion收录：Creatures history special interview,Creatures history special interview,https://www.creatures.co.jp/history_special_interview/,https://web.archive.org/web/*/https://www.creatures.co.jp/history_special_interview/,2010-01-01,石原恒和,综合专题,JA,Notion Archive,Web Interview,石原恒和; 田中宏和; JP; 综合专题; JA; Notion精选,宝可梦主创访谈数据库收录项目：Creatures history special interview，关注综合专题开发幕后。,_posts/2021-11-08-interview-creatures-history-special-ishihara-tanaka.md,imported,,interview-creatures-history-special-ishihara-tanaka,_posts/2021-11-08-interview-creatures-history-special-ishihara-tanaka.md,_posts/2021-11-08-interview-creatures-history-special-ishihara-tanaka.md,Creatures 25周年纪念巨匠对谈：石原恒和 × 田中宏和——从 APE 独立、宝可梦卡牌e到“后事由它去”的造物哲学,,,,,,,,,,,,,,,
PKMN-0029,IGN E3 2004 独家专访增田顺一与石原恒和：无线适配器革命、火红叶绿重制哲学与初探 NDS 愿景,E3 2004: The Pokemon Creators Speak,https://www.ign.com/articles/2004/05/13/e3-2004-the-pokemon-creators-speak,https://web.archive.org/web/*/https://www.ign.com/articles/2004/05/13/e3-2004-the-pokemon-creators-speak,2004-05-13,田尻智; 增田顺一; 石原恒和; Craig Harris,Gen 3,EN,IGN,Web Interview,火红叶绿; 增田顺一; 石原恒和; EN; 第三世代; Gen 3; Notion精选,宝可梦主创访谈数据库收录项目：E3 2004 采访，关注Gen 3开发幕后。,_posts/2004-05-13-interview-2004-05-13-ign-e3-2004-pokemon-creators.md,imported,2002,interview-2004-05-13-ign-e3-2004-pokemon-creators,_posts/2004-05-13-interview-2004-05-13-ign-e3-2004-pokemon-creators.md,,,,,,,,,,,,,,,,,
PKMN-0030,GlitterBerri 早期艺术文献特写：宝可梦红绿开发初期概念手稿考证（前篇：胶囊怪兽原案、杉森建早期画作与怪兽诞生哲学）,Early Concept Art 宝可梦早期概念美术,https://web.archive.org/web/20180612124601/http://www.glitterberri.com/pokemon-red-blue/early-concept-art,https://web.archive.org/web/20180612124601/http://www.glitterberri.com/pokemon-red-blue/early-concept-art,1990-12-01,增田顺一; 杉森建; 森本茂树,Gen 1,EN,GlitterBerri's Game Translations,Web Interview,增田顺一; 田尻 智; 杉森建; 森本茂树; EN; 第一世代; 赤绿; Gen 1; Notion精选,宝可梦主创访谈数据库收录项目：Early Concept Art 宝可梦早期概念美术，关注Gen 1开发幕后。,,imported,,research-glitterberri-early-concept-art-part1,_posts/1990-12-01-research-glitterberri-early-concept-art-part1.md,,,,,,,,,,,,,,,,,
