number,lang,month,date,page_url,permalink
8,ja,2004-08,2004-08-18,https://www.gamefreak.co.jp/blog/dir/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%98%e5%9b%9e%e3%83%bb/
8,en,2004-08,2004-08-18,https://www.gamefreak.co.jp/blog/dir_english/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-8
9,ja,2004-08,2004-08-26,https://www.gamefreak.co.jp/blog/dir/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%99%e5%9b%9e%e3%83%bb/
9,en,2004-08,2004-08-26,https://www.gamefreak.co.jp/blog/dir_english/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-9
10,ja,2004-08,2004-08-27,https://www.gamefreak.co.jp/blog/dir/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%91%ef%bc%90%e5%9b%9e%e3%83%bb/
10,en,2004-08,2004-08-27,https://www.gamefreak.co.jp/blog/dir_english/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-10
11,ja,2004-08,2004-08-30,https://www.gamefreak.co.jp/blog/dir/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%91%ef%bc%91%e5%9b%9e%e3%83%bb/
11,en,2004-08,2004-08-30,https://www.gamefreak.co.jp/blog/dir_english/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-11
12,ja,2004-08,2004-08-31,https://www.gamefreak.co.jp/blog/dir/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%91%ef%bc%92%e5%9b%9e%e3%83%bb/
12,en,2004-08,2004-08-31,https://www.gamefreak.co.jp/blog/dir_english/2004/08/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-12
13,ja,2004-09,2004-09-02,https://www.gamefreak.co.jp/blog/dir/2004/09/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%91%ef%bc%93%e5%9b%9e%e3%83%bb/
13,en,2004-09,2004-09-02,https://www.gamefreak.co.jp/blog/dir_english/2004/09/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-13
14,ja,2004-09,2004-09-09,https://www.gamefreak.co.jp/blog/dir/2004/09/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%91%ef%bc%94%e5%9b%9e%e3%83%bb/
14,en,2004-09,2004-09-09,https://www.gamefreak.co.jp/blog/dir_english/2004/09/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-14
15,ja,2004-09,2004-09-09,https://www.gamefreak.co.jp/blog/dir/2004/09/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%91%ef%bc%95%e5%9b%9e%e3%83%bb/
15,en,2004-09,2004-09-09,https://www.gamefreak.co.jp/blog/dir_english/2004/09/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-15
16,ja,2004-09,2004-09-10,https://www.gamefreak.co.jp/blog/dir/2004/09/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%91%ef%bc%96%e5%9b%9e%e3%83%bb/
16,en,2004-09,2004-09-10,https://www.gamefreak.co.jp/blog/dir_english/2004/09/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-16
17,ja,2004-09,2004-09-27,https://www.gamefreak.co.jp/blog/dir/2004/09/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%91%ef%bc%97%e5%9b%9e%e3%83%bb/
17,en,2004-09,2004-09-27,https://www.gamefreak.co.jp/blog/dir_english/2004/09/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-17
18,ja,2004-09,2004-09-28,https://www.gamefreak.co.jp/blog/dir/2004/09/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%91%ef%bc%98%e5%9b%9e%e3%83%bb/
18,en,2004-09,2004-09-28,https://www.gamefreak.co.jp/blog/dir_english/2004/09/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-18
19,ja,2004-09,2004-09-29,https://www.gamefreak.co.jp/blog/dir/2004/09/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%91%ef%bc%99%e5%9b%9e%e3%83%bb/
19,en,2004-09,2004-09-29,https://www.gamefreak.co.jp/blog/dir_english/2004/09/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-19
20,ja,2004-09,2004-09-30,https://www.gamefreak.co.jp/blog/dir/2004/09/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%92%ef%bc%90%e5%9b%9e%e3%83%bb/
20,en,2004-09,2004-09-30,https://www.gamefreak.co.jp/blog/dir_english/2004/09/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-20
21,ja,2004-10,2004-10-04,https://www.gamefreak.co.jp/blog/dir/2004/10/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%92%ef%bc%91%e5%9b%9e%e3%83%bb/
21,en,2004-10,2004-10-04,https://www.gamefreak.co.jp/blog/dir_english/2004/10/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-21
22,ja,2004-10,2004-10-07,https://www.gamefreak.co.jp/blog/dir/2004/10/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%92%ef%bc%92%e5%9b%9e%e3%83%bb/
22,en,2004-10,2004-10-07,https://www.gamefreak.co.jp/blog/dir_english/2004/10/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-22
23,ja,2004-10,2004-10-27,https://www.gamefreak.co.jp/blog/dir/2004/10/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%92%ef%bc%93%e5%9b%9e%e3%83%bb/
23,en,2004-10,2004-10-27,https://www.gamefreak.co.jp/blog/dir_english/2004/10/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-23
24,ja,2004-10,2004-10-28,https://www.gamefreak.co.jp/blog/dir/2004/10/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%92%ef%bc%94%e5%9b%9e%e3%83%bb/
24,en,2004-10,2004-10-28,https://www.gamefreak.co.jp/blog/dir_english/2004/10/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-24
25,ja,2004-12,2004-12-07,https://www.gamefreak.co.jp/blog/dir/2004/12/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%92%ef%bc%95%e5%9b%9e%e3%83%bb/
25,en,2004-12,2004-12-07,https://www.gamefreak.co.jp/blog/dir_english/2004/12/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-25
26,ja,2004-12,2004-12-13,https://www.gamefreak.co.jp/blog/dir/2004/12/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%92%ef%bc%96%e5%9b%9e%e3%83%bb/
26,en,2004-12,2004-12-13,https://www.gamefreak.co.jp/blog/dir_english/2004/12/index.html,https://www.gamefreak.co.jp/blog/dir_english/no26
27,ja,2004-12,2004-12-16,https://www.gamefreak.co.jp/blog/dir/2004/12/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%92%ef%bc%97%e5%9b%9e%e3%83%bb/
27,en,2004-12,2004-12-16,https://www.gamefreak.co.jp/blog/dir_english/2004/12/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-27
28,ja,2004-12,2004-12-21,https://www.gamefreak.co.jp/blog/dir/2004/12/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%92%ef%bc%98%e5%9b%9e%e3%83%bb/
28,en,2004-12,2004-12-21,https://www.gamefreak.co.jp/blog/dir_english/2004/12/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-28
29,ja,2004-12,2004-12-27,https://www.gamefreak.co.jp/blog/dir/2004/12/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%92%ef%bc%99%e5%9b%9e%e3%83%bb/
29,en,2004-12,2004-12-27,https://www.gamefreak.co.jp/blog/dir_english/2004/12/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-29
30,ja,2005-01,2005-01-07,https://www.gamefreak.co.jp/blog/dir/2005/01/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%93%ef%bc%90%e5%9b%9e%e3%83%bb/
30,en,2005-01,2005-01-07,https://www.gamefreak.co.jp/blog/dir_english/2005/01/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-30
31,ja,2005-01,2005-01-24,https://www.gamefreak.co.jp/blog/dir/2005/01/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%93%ef%bc%91%e5%9b%9e%e3%83%bb/
31,en,2005-01,2005-01-24,https://www.gamefreak.co.jp/blog/dir_english/2005/01/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-31
32,ja,2005-02,2005-02-25,https://www.gamefreak.co.jp/blog/dir/2005/02/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%93%ef%bc%92%e5%9b%9e%e3%83%bb/
32,en,2005-02,2005-02-25,https://www.gamefreak.co.jp/blog/dir_english/2005/02/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-32
33,ja,2005-03,2005-03-01,https://www.gamefreak.co.jp/blog/dir/2005/03/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%93%ef%bc%93%e5%9b%9e%e3%83%bb/
33,en,2005-03,2005-03-01,https://www.gamefreak.co.jp/blog/dir_english/2005/03/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-33
34,ja,2005-03,2005-03-14,https://www.gamefreak.co.jp/blog/dir/2005/03/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%93%ef%bc%94%e5%9b%9e%e3%83%bb/
34,en,2005-03,2005-03-14,https://www.gamefreak.co.jp/blog/dir_english/2005/03/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-34
35,ja,2005-03,2005-03-18,https://www.gamefreak.co.jp/blog/dir/2005/03/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%93%ef%bc%95%e5%9b%9e%e3%83%bb/
35,en,2005-03,2005-03-18,https://www.gamefreak.co.jp/blog/dir_english/2005/03/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-35
36,ja,2005-04,2005-04-28,https://www.gamefreak.co.jp/blog/dir/2005/04/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%93%ef%bc%96%e5%9b%9e%e3%83%bb/
36,en,2005-04,2005-04-28,https://www.gamefreak.co.jp/blog/dir_english/2005/04/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-36
37,ja,2005-05,2005-05-30,https://www.gamefreak.co.jp/blog/dir/2005/05/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%93%ef%bc%97%e5%9b%9e%e3%83%bb/
37,en,2005-05,2005-05-30,https://www.gamefreak.co.jp/blog/dir_english/2005/05/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-37
38,ja,2005-05,2005-05-31,https://www.gamefreak.co.jp/blog/dir/2005/05/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%93%ef%bc%98%e5%9b%9e%e3%83%bb/
38,en,2005-05,2005-05-31,https://www.gamefreak.co.jp/blog/dir_english/2005/05/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-38
39,ja,2005-06,2005-06-02,https://www.gamefreak.co.jp/blog/dir/2005/06/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%93%ef%bc%99%e5%9b%9e%e3%83%bb/
39,en,2005-06,2005-06-02,https://www.gamefreak.co.jp/blog/dir_english/2005/06/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-39
40,ja,2005-06,2005-06-03,https://www.gamefreak.co.jp/blog/dir/2005/06/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%94%ef%bc%90%e5%9b%9e%e3%83%bb/
40,en,2005-06,2005-06-03,https://www.gamefreak.co.jp/blog/dir_english/2005/06/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-40
41,ja,2005-06,2005-06-21,https://www.gamefreak.co.jp/blog/dir/2005/06/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%94%ef%bc%91%e5%9b%9e%e3%83%bb/
41,en,2005-06,2005-06-21,https://www.gamefreak.co.jp/blog/dir_english/2005/06/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-41
42,ja,2005-06,2005-06-23,https://www.gamefreak.co.jp/blog/dir/2005/06/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%94%ef%bc%92%e5%9b%9e%e3%83%bb/
42,en,2005-06,2005-06-23,https://www.gamefreak.co.jp/blog/dir_english/2005/06/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-42
43,ja,2005-06,2005-06-24,https://www.gamefreak.co.jp/blog/dir/2005/06/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%94%ef%bc%93%e5%9b%9e%e3%83%bb/
43,en,2005-06,2005-06-24,https://www.gamefreak.co.jp/blog/dir_english/2005/06/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-43
44,ja,2005-06,2005-06-28,https://www.gamefreak.co.jp/blog/dir/2005/06/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%94%ef%bc%94%e5%9b%9e%e3%83%bb/
44,en,2005-06,2005-06-28,https://www.gamefreak.co.jp/blog/dir_english/2005/06/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-44
45,ja,2005-06,2005-06-29,https://www.gamefreak.co.jp/blog/dir/2005/06/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%94%ef%bc%95%e5%9b%9e%e3%83%bb/
45,en,2005-06,2005-06-29,https://www.gamefreak.co.jp/blog/dir_english/2005/06/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-45
46,ja,2005-07,2005-07-27,https://www.gamefreak.co.jp/blog/dir/2005/07/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%94%ef%bc%96%e5%9b%9e%e3%83%bb/
46,en,2005-07,2005-07-27,https://www.gamefreak.co.jp/blog/dir_english/2005/07/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-46
47,ja,2005-07,2005-07-28,https://www.gamefreak.co.jp/blog/dir/2005/07/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%94%ef%bc%97%e5%9b%9e%e3%83%bb/
47,en,2005-07,2005-07-28,https://www.gamefreak.co.jp/blog/dir_english/2005/07/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-47
48,ja,2005-08,2005-08-03,https://www.gamefreak.co.jp/blog/dir/2005/08/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%94%ef%bc%98%e5%9b%9e%e3%83%bb/
48,en,2005-08,2005-08-03,https://www.gamefreak.co.jp/blog/dir_english/2005/08/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-48
49,ja,2005-08,2005-08-05,https://www.gamefreak.co.jp/blog/dir/2005/08/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%94%ef%bc%99%e5%9b%9e%e3%83%bb/
49,en,2005-08,2005-08-05,https://www.gamefreak.co.jp/blog/dir_english/2005/08/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-49
50,ja,2005-08,2005-08-09,https://www.gamefreak.co.jp/blog/dir/2005/08/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%95%ef%bc%90%e5%9b%9e%e3%83%bb/
50,en,2005-08,2005-08-09,https://www.gamefreak.co.jp/blog/dir_english/2005/08/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-50
51,ja,2005-08,2005-08-30,https://www.gamefreak.co.jp/blog/dir/2005/08/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%95%ef%bc%91%e5%9b%9e%e3%83%bb/
51,en,2005-08,2005-08-30,https://www.gamefreak.co.jp/blog/dir_english/2005/08/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-51
52,ja,2005-09,2005-09-14,https://www.gamefreak.co.jp/blog/dir/2005/09/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%95%ef%bc%92%e5%9b%9e%e3%83%bb/
52,en,2005-09,2005-09-14,https://www.gamefreak.co.jp/blog/dir_english/2005/09/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-52
53,ja,2005-09,2005-09-22,https://www.gamefreak.co.jp/blog/dir/2005/09/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%95%ef%bc%93%e5%9b%9e%e3%83%bb/
53,en,2005-09,2005-09-22,https://www.gamefreak.co.jp/blog/dir_english/2005/09/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-53
54,ja,2005-09,2005-09-27,https://www.gamefreak.co.jp/blog/dir/2005/09/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%95%ef%bc%94%e5%9b%9e%e3%83%bb/
54,en,2005-09,2005-09-27,https://www.gamefreak.co.jp/blog/dir_english/2005/09/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-54
55,ja,2005-12,2005-12-28,https://www.gamefreak.co.jp/blog/dir/2005/12/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%95%ef%bc%95%e5%9b%9e%e3%83%bb/
55,en,2005-12,2005-12-28,https://www.gamefreak.co.jp/blog/dir_english/2005/12/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-55
56,ja,2006-02,2006-02-27,https://www.gamefreak.co.jp/blog/dir/2006/02/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%95%ef%bc%96%e5%9b%9e%e3%83%bb/
56,en,2006-02,2006-02-27,https://www.gamefreak.co.jp/blog/dir_english/2006/02/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-56
57,ja,2006-07,2006-07-15,https://www.gamefreak.co.jp/blog/dir/2006/07/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%95%ef%bc%97%e5%9b%9e%e3%83%bb/
58,ja,2006-08,2006-08-09,https://www.gamefreak.co.jp/blog/dir/2006/08/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%95%ef%bc%98%e5%9b%9e%e3%83%bb/
58,en,2006-08,2006-08-09,https://www.gamefreak.co.jp/blog/dir_english/2006/08/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-58
59,ja,2006-08,2006-08-11,https://www.gamefreak.co.jp/blog/dir/2006/08/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%95%ef%bc%99%e5%9b%9e%e3%83%bb/
59,en,2006-08,2006-08-11,https://www.gamefreak.co.jp/blog/dir_english/2006/08/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-59
60,ja,2006-09,2006-09-28,https://www.gamefreak.co.jp/blog/dir/2006/09/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%96%ef%bc%90%e5%9b%9e%e3%83%bb/
60,en,2006-09,2006-09-28,https://www.gamefreak.co.jp/blog/dir_english/2006/09/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-60
61,ja,2006-11,2006-11-14,https://www.gamefreak.co.jp/blog/dir/2006/11/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%96%ef%bc%91%e5%9b%9e%e3%83%bb/
61,en,2006-11,2006-11-14,https://www.gamefreak.co.jp/blog/dir_english/2006/11/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-61
62,ja,2006-11,2006-11-22,https://www.gamefreak.co.jp/blog/dir/2006/11/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%96%ef%bc%92%e5%9b%9e%e3%83%bb/
62,en,2006-11,2006-11-22,https://www.gamefreak.co.jp/blog/dir_english/2006/11/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-62
63,ja,2006-12,2006-12-05,https://www.gamefreak.co.jp/blog/dir/2006/12/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%96%ef%bc%93%e5%9b%9e%e3%83%bb/
63,en,2006-12,2006-12-05,https://www.gamefreak.co.jp/blog/dir_english/2006/12/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-63
64,ja,2006-12,2006-12-13,https://www.gamefreak.co.jp/blog/dir/2006/12/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%96%ef%bc%94%e5%9b%9e%e3%83%bb-2/
64,en,2006-12,2006-12-13,https://www.gamefreak.co.jp/blog/dir_english/2006/12/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-64
65,ja,2007-01,2007-01-11,https://www.gamefreak.co.jp/blog/dir/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%96%ef%bc%95%e5%9b%9e%e3%83%bb/
65,en,2007-01,2007-01-11,https://www.gamefreak.co.jp/blog/dir_english/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-65
66,ja,2007-01,2007-01-12,https://www.gamefreak.co.jp/blog/dir/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%96%ef%bc%96%e5%9b%9e%e3%83%bb/
66,en,2007-01,2007-01-12,https://www.gamefreak.co.jp/blog/dir_english/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-66
67,ja,2007-01,2007-01-16,https://www.gamefreak.co.jp/blog/dir/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%96%ef%bc%97%e5%9b%9e%e3%83%bb/
67,en,2007-01,2007-01-16,https://www.gamefreak.co.jp/blog/dir_english/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-67
68,ja,2007-01,2007-01-17,https://www.gamefreak.co.jp/blog/dir/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%96%ef%bc%98%e5%9b%9e%e3%83%bb/
68,en,2007-01,2007-01-17,https://www.gamefreak.co.jp/blog/dir_english/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-68
69,ja,2007-01,2007-01-18,https://www.gamefreak.co.jp/blog/dir/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%96%ef%bc%99%e5%9b%9e%e3%83%bb/
69,en,2007-01,2007-01-18,https://www.gamefreak.co.jp/blog/dir_english/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-69
70,ja,2007-01,2007-01-22,https://www.gamefreak.co.jp/blog/dir/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%97%ef%bc%90%e5%9b%9e%e3%83%bb/
70,en,2007-01,2007-01-22,https://www.gamefreak.co.jp/blog/dir_english/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-70
71,ja,2007-01,2007-01-23,https://www.gamefreak.co.jp/blog/dir/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%97%ef%bc%91%e5%9b%9e%e3%83%bb/
71,en,2007-01,2007-01-23,https://www.gamefreak.co.jp/blog/dir_english/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-71
72,ja,2007-01,2007-01-24,https://www.gamefreak.co.jp/blog/dir/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%97%ef%bc%92%e5%9b%9e%e3%83%bb/
72,en,2007-01,2007-01-24,https://www.gamefreak.co.jp/blog/dir_english/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-72
73,ja,2007-01,2007-01-26,https://www.gamefreak.co.jp/blog/dir/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%97%ef%bc%93%e5%9b%9e%e3%83%bb/
73,en,2007-01,2007-01-26,https://www.gamefreak.co.jp/blog/dir_english/2007/01/index.html,https://www.gamefreak.co.jp/blog/dir_english/no-73
74,ja,2007-02,2007-02-01,https://www.gamefreak.co.jp/blog/dir/2007/02/index.html,https://www.gamefreak.co.jp/blog/dir/%e3%83%bb%e7%ac%ac%ef%bc%97%ef%bc%94%e5%9b%9e%e3%83%bb/
